The Shawshank Redemption
Bloody Sunday
The Professional
Nowhere in Africa
The Producers
Blood Simple.
Sophie Scholl: The Final Days
Dangerous Liaisons
Eastern Promises
In a Better World
Lolita
Midnight Express
Seven Pounds
The Player
Traffic
Inside Man
I Am Sam
A Few Good Men
The Wicker Man
The Skin I Live In
Tristana
Blow
American Psycho
127 Hours
28 Days Later...
Munich
The Crow
The Others
Volver
Lenny
The Counterfeiters
A Fish Called Wanda
The Man Who Wasn't There
Falling Down
The Wave
The Abyss
Moneyball
The Piano
The Great Debaters
The Reader
The Omen
Revanche
Leaving Las Vegas
Boys Don't Cry
Hair
Dead Man Walking
The Hours
Sideways
Hugo
The Assassination of Jesse James by the Coward Robert Ford
Gangs of New York
Elizabeth
Viva Zapata!
Straw Dogs
Juno
True Story
Five Easy Pieces
American Graffiti
Marathon Man
Beyond a Reasonable Doubt
top gun
Cloud Atlas
Twin Sisters
The Devil's Advocate
The Aviator
Paradise Now
Reds
The Getaway
A History of Violence
Biutiful
The Constant Gardener
Bad Education
Thesis
Babel
Dracula
The Mission
Cry Freedom
Bullitt
In the Bedroom
Atlantic City
Trading Places
Up in the Air
Witness
Man on the Moon
Notes on a Scandal
Terms of Endearment
Body Heat
The English Patient
Tootsie
Contact
Capote
Zero Dark Thirty
Master and Commander: The Far Side of the World
Dirty Pretty Things
Gentleman's Agreement
A Passage to India
La Femme Nikita
Thelma & Louise
Easy Rider
Wall Street
The Next Three Days
Carrie
The Talented Mr. Ripley
Heathers
Revolutionary Road
Ragtime
Cape Fear
Music Box
Eyes Wide Shut
The Crying Game
Murder on the Orient Express
Flight
Bummer
The People vs. Larry Flynt
Tsotsi
Animal Kingdom
Punch-Drunk Love
Amen.
Before the Devil Knows You're Dead
Election
The Widow of Saint-Pierre
Erin Brockovich
Natural Born Killers
Jerry Maguire
From Dusk Till Dawn
Reversal of Fortune
Amistad
War Horse
Broken Embraces
The Ghost Writer
Audition
Troy
True Lies
Unbreakable
Point Break
Broadcast News
Cold Mountain
"Sex, Lies, and Videotape"
Insomnia
Starship Troopers
Born on the Fourth of July
Desperado
About Schmidt
The Driver
The Agony and the Ecstasy
Pay It Forward
Hard Candy
The Ides of March
A.I. Artificial Intelligence
Body of Lies
Charlie Wilson's War
Mission: Impossible
The Master
The Poseidon Adventure
Indochine
Katyn
The Boys from Brazil
Spy Game
A Most Violent Year
Foxcatcher
Burn After Reading
Ghost
The Thomas Crown Affair
Syriana
Vanilla Sky
Basic Instinct
Rise of the Footsoldier
Fatal Attraction
All Is Lost
The Iceman
Great Expectations
Any Given Sunday
The Devil Wears Prada
U Turn
Working Girl
The Beach
Australia
Reality Bites
Capital
Spanglish
The Faculty
The Good Son
Mamma Mia!
The Acid House
